,vehicle_lane,lon,lat,timestep,vehicle_type,vehicle_noise,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,amount
46,-101154827,24.92771090737302,60.16258061095071,23,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-101154827,24.92771090737302,60.16258061095071,23,fuel,66.96237525717034,452.8,6865.39,98.67999999999999,56.6,0.81,5.0
48,-101154827,24.92771090737302,60.16258061095071,24,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,-101154827,24.92771090737302,60.16258061095071,24,fuel,71.16234500637404,1395.85,26236.23,301.0,227.21,2.1799999999999997,9.0
50,-101154827,24.92771090737302,60.16258061095071,25,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,-101154827,24.92771090737302,60.16258061095071,25,fuel,78.0096363343135,7125.4400000000005,125132.25,1690.36,918.78,9.99,60.0
52,-101154827,24.92771090737302,60.16258061095071,26,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,-101154827,24.92771090737302,60.16258061095071,26,fuel,67.7108795822213,701.4,10028.64,161.87,75.25,1.25,5.0
54,-101154827,24.92771090737302,60.16258061095071,27,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,-101154827,24.92771090737302,60.16258061095071,27,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,-101154827,24.92771090737302,60.16258061095071,28,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,-101154827,24.92771090737302,60.16258061095071,28,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,-101154827,24.92771090737302,60.16258061095071,29,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,-101154827,24.92771090737302,60.16258061095071,29,fuel,72.5175667797802,1872.16,29416.83,424.19,228.81,3.07,17.0
60,-101154827,24.92771090737302,60.16258061095071,30,electric,73.34289420445707,0.0,0.0,0.0,0.0,2.93,17.0
61,-101154827,24.92771090737302,60.16258061095071,30,fuel,73.07211188620228,2041.94,32020.21,431.74,274.98,3.7399999999999998,14.0
62,-101154827,24.92771090737302,60.16258061095071,31,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,-101154827,24.92771090737302,60.16258061095071,31,fuel,77.70142548887968,6725.36,115346.44,1564.88,878.81,9.97,54.0
64,-101154827,24.92771090737302,60.16258061095071,32,electric,70.66570118594942,0.0,0.0,0.0,0.0,1.69,11.0
65,-101154827,24.92771090737302,60.16258061095071,32,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,-101154827,24.92771090737302,60.16258061095071,33,electric,67.97546625721131,0.0,0.0,0.0,0.0,0.72,8.0
67,-101154827,24.92771090737302,60.16258061095071,33,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,-101154827,24.92771090737302,60.16258061095071,34,electric,71.5775747640963,0.0,0.0,0.0,0.0,2.15,12.0
69,-101154827,24.92771090737302,60.16258061095071,34,fuel,69.12170890324417,1039.98,22822.56,287.39,130.38,0.68,9.0
70,-101154827,24.92771090737302,60.16258061095071,35,electric,66.9978138802004,0.0,0.0,0.0,0.0,1.01,5.0
71,-101154827,24.92771090737302,60.16258061095071,35,fuel,75.19571935580095,3603.74,62620.21,793.59,518.85,5.75,27.0
72,-101154827,24.92771090737302,60.16258061095071,36,electric,76.05956468262033,0.0,0.0,0.0,0.0,4.79,35.0
73,-101154827,24.92771090737302,60.16258061095071,36,fuel,76.42561240961602,4463.34,76229.05,989.49,619.64,7.16,38.0
74,-101154827,24.92771090737302,60.16258061095071,37,electric,67.11961741568389,0.0,0.0,0.0,0.0,0.99,4.0
75,-101154827,24.92771090737302,60.16258061095071,37,fuel,73.43229861968092,2481.12,46066.520000000004,588.04,346.76,3.42,19.0
76,-101154827,24.92771090737302,60.16258061095071,38,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,-101154827,24.92771090737302,60.16258061095071,38,fuel,74.97313435490277,3646.66,64135.08,876.05,459.36,5.07,29.0
78,-101154827,24.92771090737302,60.16258061095071,39,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,-101154827,24.92771090737302,60.16258061095071,39,fuel,77.0106629087851,5526.07,94363.55,1248.32,757.26,8.75,41.0
80,-101154827,24.92771090737302,60.16258061095071,40,electric,72.956454262688,0.0,0.0,0.0,0.0,3.42,15.0
81,-101154827,24.92771090737302,60.16258061095071,40,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,-101154827,24.92771090737302,60.16258061095071,41,electric,73.5320821932177,0.0,0.0,0.0,0.0,2.65,22.0
83,-101154827,24.92771090737302,60.16258061095071,41,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,-101154827,24.92771090737302,60.16258061095071,42,electric,73.43701967612313,0.0,0.0,0.0,0.0,3.14,16.0
85,-101154827,24.92771090737302,60.16258061095071,42,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,-101154827,24.92771090737302,60.16258061095071,43,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,-101154827,24.92771090737302,60.16258061095071,43,fuel,71.1318800663634,1400.17,26318.08,301.2,228.51,2.19,9.0
88,-101154827,24.92771090737302,60.16258061095071,44,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,-101154827,24.92771090737302,60.16258061095071,44,fuel,74.49384292555345,3216.32,51950.3,747.89,395.16,5.12,25.0
90,-101154827,24.92771090737302,60.16258061095071,45,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,-101154827,24.92771090737302,60.16258061095071,45,fuel,73.28051968350785,2504.85,49834.63,590.29,362.98,2.92,18.0
92,-101154827,24.92771090737302,60.16258061095071,46,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,-101154827,24.92771090737302,60.16258061095071,46,fuel,74.76488872944766,3731.68,58644.1,900.64,407.32,5.58,31.0
94,-101154827,24.92771090737302,60.16258061095071,47,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,-101154827,24.92771090737302,60.16258061095071,47,fuel,69.47976467744931,1070.08,15575.4,256.73,106.93,1.72,9.0
96,-101154827,24.92771090737302,60.16258061095071,48,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
