#{"t_start": 1709725037.7501352, "env_id": "None"}
r,l,t
18936.264,3000,73.348374
19284.424,3000,73.34851
18752.895,3000,73.348537
19607.75,3000,73.348557
18916.23,3000,73.348579
19401.344,3000,73.3486
20115.367,3000,73.348642
18516.328,3000,73.348668
