job_id,job_index,task_index,cores,environments,area,sample_percentage,train_frequency,delta,first_iter_timestamp,last_iter_timestamp,total_iters,avg_runtime_per_core
8394552,0,0,1,1,2,0.2,1,1,239.572549,239.572549,1,239.572549
8394552,0,1,2,2,2,0.2,1,1,245.840261,245.840379,2,122.9201305
8394552,0,2,4,4,2,0.2,1,1,293.650542,293.650692,4,73.4126355
8394552,0,3,8,8,2,0.2,1,1,354.602479,354.602677,8,44.325309875
8394552,0,4,16,16,2,0.2,1,1,487.39386,487.394138,16,30.46211625
8394552,0,5,32,32,2,0.2,1,1,678.220423,678.220845,32,21.19438821875
8394552,0,6,64,64,2,0.2,1,1,855.43586,855.436438,64,13.3661853125
8394552,1,0,1,1,2,0.2,1,60,189.271114,3436.723155,19,189.271114
8394552,1,1,2,2,2,0.2,1,60,198.990777,3552.855725,38,99.4953885
8394552,1,2,4,4,2,0.2,1,60,267.072552,3483.096787,56,66.768138
8394552,1,3,8,8,2,0.2,1,60,272.898056,3401.610424,104,34.112257
8394552,1,4,16,16,2,0.2,1,60,270.821079,3344.911765,208,16.9263174375
8394552,1,5,32,32,2,0.2,1,60,292.634773,3427.200697,384,9.14483665625
8394552,1,6,64,64,2,0.2,1,60,322.579825,3360.815256,704,5.040309765625
8394552,2,0,1,1,2,0.2,1,300,247.493459,3439.666069,15,247.493459
8394552,2,1,2,2,2,0.2,1,300,254.546741,3349.081113,28,127.2733705
8394552,2,2,4,4,2,0.2,1,300,205.960261,3501.358005,72,51.49006525
8394552,2,3,8,8,2,0.2,1,300,218.983002,3442.747053,128,27.37287525
8394552,2,4,16,16,2,0.2,1,300,254.66083,3573.408016,224,15.916301875
8394552,2,5,32,32,2,0.2,1,300,222.111118,3471.072488,480,6.9409724375
8394552,2,6,64,64,2,0.2,1,300,285.09669,3535.717078,832,4.45463578125
8394552,3,0,1,1,2,0.2,1,600,249.86046,3491.513082,17,249.86046
8394552,3,1,2,2,2,0.2,1,600,257.38936,3416.476948,32,128.69468
8394552,3,2,4,4,2,0.2,1,600,252.470427,3576.117333,60,63.11760675
8394552,3,3,8,8,2,0.2,1,600,256.434645,3457.689515,112,32.054330625
8394552,3,4,16,16,2,0.2,1,600,219.63634,3553.329228,256,13.72727125
8394552,3,5,32,32,2,0.2,1,600,261.916326,3332.68612,416,8.1848851875
8394552,3,6,64,64,2,0.2,1,600,263.484048,3382.692092,832,4.11693825
8394552,4,0,1,1,2,0.2,1,900,194.391183,3361.115473,15,194.391183
8394552,4,1,2,2,2,0.2,1,900,200.514617,3452.826529,36,100.2573085
8394552,4,2,4,4,2,0.2,1,900,263.793142,3390.147763,56,65.9482855
8394552,4,3,8,8,2,0.2,1,900,217.578512,3402.087567,128,27.197314
8394552,4,4,16,16,2,0.2,1,900,220.218612,3540.770071,256,13.76366325
8394552,4,5,32,32,2,0.2,1,900,262.341833,3525.326523,448,8.19818228125
8394552,4,6,64,64,2,0.2,1,900,272.342905,3402.819061,832,4.255357890625
8394552,5,0,1,1,2,0.2,1,1800,202.998956,3480.49028,19,202.998956
8394552,5,1,2,2,2,0.2,1,1800,204.128219,3421.054567,36,102.0641095
8394552,5,2,4,4,2,0.2,1,1800,257.258024,3380.449427,68,64.314506
8394552,5,3,8,8,2,0.2,1,1800,262.046466,3445.994213,128,32.75580825
8394552,5,4,16,16,2,0.2,1,1800,261.652752,3533.906745,256,16.353297
8394552,5,5,32,32,2,0.2,1,1800,263.254184,3450.229485,480,8.22669325
8394552,5,6,64,64,2,0.2,1,1800,264.70555,3486.512386,960,4.13602421875
