#{"t_start": 1709721306.8910496, "env_id": "None"}
r,l,t
18823.584,3000,35.504518
18823.584,3000,35.504578
18823.584,3000,35.504595
18823.584,3000,35.504607
18881.32,3000,68.117818
18729.615,3000,68.117932
18881.32,3000,68.117954
18881.32,3000,68.117971
