#{"t_start": 1702421561.7441263, "env_id": "sumo-rl-rs-v0"}
r,l,t
20037.17,3000,2979.555791
19843.51,3000,2992.393161
19374.04,3000,3005.43265
19539.26,3000,3018.144003
20725.19,3000,3031.454366
20424.7,3000,3044.874107
20595.83,3000,3057.763175
21093.85,3000,3070.87919
20942.52,3000,3084.082948
19760.16,3000,3096.950464
19798.64,3000,3110.035408
20374.48,3000,3122.865502
19980.57,3000,3135.652724
19690.9,3000,3148.478509
20629.05,3000,3161.143333
20845.67,3000,3173.926393
20266.04,3000,3186.895183
21120.14,3000,3199.767536
20118.4,3000,3212.61236
19913.14,3000,3225.406084
20840.45,3000,3238.038493
20080.62,3000,3250.72387
19734.66,3000,3263.628367
19241.02,3000,3276.610327
20184.33,3000,3289.360312
20256.05,3000,3302.249971
20557.91,3000,3314.863874
21152.12,3000,3327.68082
20881.76,3000,3340.457865
20659.46,3000,3353.417016
20764.08,3000,3366.355799
20248.07,3000,3379.290041
21223.24,3000,3392.127943
21208.61,3000,3405.044311
19232.54,3000,3417.73723
21742.89,3000,3430.703351
21273.35,3000,3443.584737
20928.54,3000,3456.493976
19562.1,3000,3469.478887
19638.88,3000,3482.329414
21219.44,3000,3495.333068
21066.66,3000,3508.065822
20695.03,3000,3521.130851
21143.71,3000,3533.822823
20499.52,3000,3546.574916
20217.04,3000,3559.37271
19033.3,3000,3572.189056
19521.84,3000,3585.223495
19541.97,3000,3598.160168
20438.58,3000,3610.955334
19895.44,3000,3623.992823
20504.31,3000,3636.913236
20853.85,3000,3649.757661
20011.35,3000,3662.599133
19379.0,3000,3675.441821
20522.02,3000,3688.212995
20170.13,3000,3701.12321
19791.33,3000,3713.890071
20107.43,3000,3726.520107
19999.67,3000,3739.317248
20857.56,3000,3752.113139
20087.9,3000,3765.05592
20156.76,3000,3777.765064
21400.58,3000,3790.672978
19627.14,3000,3803.482493
20594.47,3000,3816.338483
20876.91,3000,3829.310316
19803.48,3000,3842.210999
20670.04,3000,3855.362223
21331.07,3000,3868.16193
20040.72,3000,3881.028776
19839.0,3000,3893.900022
21791.13,3000,3906.710574
20401.07,3000,3919.742548
19679.91,3000,3932.545897
20876.33,3000,3945.521356
20229.82,3000,3958.484811
20204.54,3000,3971.417818
21025.01,3000,3984.40698
20477.28,3000,3997.226941
20001.79,3000,4010.199189
19315.74,3000,4023.122001
20152.49,3000,4036.080127
20609.94,3000,4048.776319
20252.66,3000,4061.806227
19850.19,3000,4074.781101
19821.03,3000,4087.512354
20339.33,3000,4100.385076
20223.94,3000,4113.130783
19637.16,3000,4126.219603
20953.72,3000,4139.018525
19985.16,3000,4151.827963
20877.94,3000,4164.714923
20020.59,3000,4177.764458
20368.88,3000,4190.435336
21424.06,3000,4203.251148
20650.81,3000,4215.881771
20677.96,3000,4228.712336
19735.98,3000,4241.629582
19023.16,3000,4254.328915
20425.75,3000,4267.38586
20919.73,3000,4280.345
20515.84,3000,4293.732384
20950.95,3000,4306.904295
20709.2,3000,4319.82374
20763.36,3000,4332.945604
19511.44,3000,4345.86147
20975.14,3000,4358.612741
20160.78,3000,4371.61852
20426.54,3000,4384.520319
19774.02,3000,4397.270667
19760.68,3000,4410.222573
18456.59,3000,4422.977221
20868.94,3000,4435.637546
20873.97,3000,4448.426619
19960.19,3000,4461.309678
21182.15,3000,4474.121723
20509.44,3000,4487.193046
21067.69,3000,4499.918372
20138.76,3000,4512.79102
21425.37,3000,4525.640471
21404.21,3000,4538.436956
20345.45,3000,4551.16897
20039.34,3000,4564.066149
20120.29,3000,4577.144828
21468.7,3000,4589.951746
20120.72,3000,4602.68376
19160.66,3000,4615.791721
20541.1,3000,4628.47627
20332.0,3000,4641.250493
20867.22,3000,4654.021326
20344.27,3000,4666.920729
20672.99,3000,4679.734411
20497.75,3000,4693.651255
20764.01,3000,4708.356052
20036.81,3000,4721.927646
20437.21,3000,4734.848359
20101.03,3000,4747.848389
19946.49,3000,4761.023096
20771.35,3000,4773.750104
20123.98,3000,4786.534832
20767.89,3000,4799.236104
20187.25,3000,4812.292734
20307.89,3000,4825.208554
19973.02,3000,4838.101907
20276.33,3000,4851.507658
21259.18,3000,4864.338076
19919.31,3000,4877.216887
19563.52,3000,4889.958493
20539.2,3000,4902.655533
19428.58,3000,4915.709514
19726.34,3000,4928.569787
19695.51,3000,4941.548478
20001.56,3000,4954.281549
20797.02,3000,4967.174966
20790.34,3000,4979.847685
20518.28,3000,4992.884252
20058.94,3000,5005.846377
19818.26,3000,5018.455307
20845.63,3000,5031.558293
20592.97,3000,5044.31874
19593.56,3000,5057.281534
20146.32,3000,5070.107274
20152.09,3000,5082.809519
21142.78,3000,5095.783302
20864.95,3000,5108.468586
21159.61,3000,5121.242311
21278.55,3000,5134.088839
19738.77,3000,5147.083214
20304.5,3000,5159.873623
20277.74,3000,5172.991971
19856.18,3000,5185.881912
21013.72,3000,5198.76583
20352.92,3000,5211.717591
19382.44,3000,5224.611653
19092.26,3000,5237.584016
20242.3,3000,5250.484542
20441.19,3000,5263.541095
20298.04,3000,5276.400981
19363.39,3000,5289.356682
19694.97,3000,5302.152664
19674.55,3000,5315.049938
20067.25,3000,5327.908736
19574.72,3000,5340.659059
19680.22,3000,5353.70968
20108.8,3000,5366.251521
20390.07,3000,5379.068344
20659.16,3000,5391.978104
20857.83,3000,5404.797586
19978.77,3000,5417.604964
19791.15,3000,5430.486156
20388.4,3000,5443.405223
20689.87,3000,5456.196443
20051.21,3000,5469.150891
20608.3,3000,5481.963925
20871.02,3000,5494.6808
20497.01,3000,5507.416325
20139.82,3000,5520.314387
20710.85,3000,5532.923933
20226.83,3000,5545.700394
20127.81,3000,5558.527663
19050.95,3000,5571.634866
20366.74,3000,5584.527857
20286.55,3000,5597.417006
19879.25,3000,5610.273836
20534.62,3000,5622.967683
21067.73,3000,5635.96508
20163.3,3000,5648.902737
19466.92,3000,5661.785156
20972.26,3000,5674.461866
19909.2,3000,5687.071562
20523.12,3000,5699.903098
20767.56,3000,5712.646353
20403.37,3000,5725.632088
20004.96,3000,5738.429101
20443.48,3000,5751.485961
21156.9,3000,5764.267322
20294.24,3000,5777.301999
19903.23,3000,5790.0793
20129.09,3000,5802.85584
20750.87,3000,5815.739074
20294.7,3000,5828.538411
21274.19,3000,5841.379415
20290.77,3000,5854.209759
21445.2,3000,5867.413843
21102.55,3000,5880.263474
20975.21,3000,5893.229291
21150.61,3000,5905.999055
20527.41,3000,5918.728158
20865.74,3000,5931.650462
20723.26,3000,5944.558661
21454.65,3000,5957.587408
20681.9,3000,5970.397121
20774.33,3000,5983.160097
20878.35,3000,5995.982941
20912.15,3000,6008.835085
20750.77,3000,6021.682021
21041.27,3000,6034.469512
19794.72,3000,6047.381834
20685.6,3000,6060.192164
21144.19,3000,6072.998228
20746.79,3000,6086.05164
20660.68,3000,6098.936615
21303.14,3000,6111.855477
19486.32,3000,6124.559664
20010.99,3000,6137.513363
19504.76,3000,6150.298779
21003.7,3000,6163.158184
19616.08,3000,6175.98785
20354.59,3000,6188.86138
20253.38,3000,6201.585264
20673.53,3000,6214.896573
21355.14,3000,6227.880864
21363.7,3000,6240.689324
20815.98,3000,6253.534198
20408.78,3000,6266.241745
19534.16,3000,6279.152364
20941.26,3000,6292.170578
20884.51,3000,6304.996937
20600.07,3000,6317.874831
20967.96,3000,6330.585319
20475.94,3000,6343.459917
21001.72,3000,6356.365589
20464.63,3000,6368.99906
20214.03,3000,6381.729119
20506.67,3000,6394.447989
21213.09,3000,6407.307282
21440.47,3000,6420.406137
21343.41,3000,6433.324327
20315.29,3000,6446.130563
21006.1,3000,6459.038015
20969.92,3000,6472.037831
20641.16,3000,6484.865853
20682.49,3000,6497.569047
20384.07,3000,6510.368463
20647.68,3000,6523.176566
19994.55,3000,6536.141203
20139.14,3000,6548.881792
20897.42,3000,6562.499589
20555.96,3000,6577.079553
21278.28,3000,6591.266103
20451.74,3000,6604.037567
19719.88,3000,6617.149868
